,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,first_review,last_review,instant_bookable,Unnamed: 0,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1340,01/08/2016,within an hour,100%,99%,"['email', 'phone']",Altstadt-Lehel,Private room in rental unit,Private room,1 shared bath,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Lockbox"", ""Courtyard view"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Paid parking lot off premises"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Elevator"", ""Hangers"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Waterfront"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Pets allowed"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Smoking allowed"", ""Board games"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Toaster""]",$150.00,t,06/08/2021,20/09/2024,t,2700,87344028,1.0,1.0,48.13993,11.59068,2.0,1.0,1.0,1.0,1.0,28,1.1,1125.0,3,13,43,223,115.0,72.0,1.0,4.84,4.86,4.63,4.85,4.88,4.96,4.64,1.0,0.0,1.0,0.0,3.01
1341,17/12/2015,within an hour,100%,100%,"['email', 'phone', 'work_email']",Ludwigsvorstadt-Isarvorstadt,Room in aparthotel,Entire home/apt,1 bath,"[""Outlet covers"", ""Heating"", ""Hot water kettle"", ""Single level home"", ""43 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, standard cable"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""JBL Bluetooth sound system"", ""Paid parking lot off premises"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""Electrolux induction stove"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Room-darkening shades"", ""Baby bath"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Long term stays allowed"", ""Shampoo"", ""Changing table"", ""Safe"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Wifi"", ""Exterior security cameras on property"", ""Mini fridge"", ""Body soap""]",$906.00,t,29/07/2021,09/04/2024,f,2708,51557252,23.0,24.0,48.12716,11.55203,2.0,1.0,1.0,0.0,1.0,180,1.0,1125.0,3,15,24,252,33.0,1.0,0.0,4.7,4.94,4.85,4.88,4.91,4.76,4.64,23.0,23.0,0.0,0.0,0.86
1342,30/08/2016,within an hour,98%,98%,"['email', 'phone']",Schwanthalerhöhe,Entire guesthouse,Entire home/apt,1 bath,"[""Hot water kettle"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Essentials"", ""Refrigerator"", ""Smoke alarm"", ""Central heating"", ""Paid washer \u2013 In building"", ""Kitchen"", ""Wifi"", ""Mini fridge"", ""Toaster""]",$144.00,t,18/09/2022,21/09/2024,t,2711,92597073,6.0,12.0,48.1394461,11.54638091,1.0,1.0,1.0,1.0,1.0,30,1.0,29.9,2,2,2,2,16.0,6.0,3.0,3.94,4.19,4.56,4.31,4.0,4.63,3.75,6.0,2.0,4.0,0.0,0.65
1343,22/06/2014,within an hour,100%,81%,"['email', 'phone']",Au-Haidhausen,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Hot water kettle"", ""Exercise equipment: free weights, treadmill, yoga mat"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Backyard"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""TV"", ""Bluetooth sound system"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Private entrance"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""Clothing storage"", ""Extra pillows and blankets"", ""City skyline view"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Gym"", ""Dining table"", ""Kitchen"", ""Wifi""]",$200.00,t,01/04/2022,08/09/2024,f,2714,17113021,1.0,5.0,48.13775,11.62008,2.0,1.0,1.0,1.0,2.0,1125,2.0,1125.0,16,40,70,76,45.0,34.0,1.0,4.71,4.73,4.69,4.93,4.87,4.71,4.6,1.0,1.0,0.0,0.0,1.49
1344,01/02/2015,a few days or more,0%,0%,"['email', 'phone']",Untergiesing-Harlaching,Entire condo,Entire home/apt,1 bath,"[""Smoke alarm"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Washer"", ""Coffee maker"", ""Garden view"", ""Outdoor dining area"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Patio or balcony""]",$106.00,t,07/09/2021,29/12/2022,f,2715,27064993,1.0,1.0,48.08611,11.55223,4.0,1.0,1.0,1.0,7.0,365,7.0,365.0,14,44,74,164,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.05
1345,07/04/2015,within an hour,100%,97%,"['email', 'phone']",Schwanthalerhöhe,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Host greets you"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""55 inch HDTV with standard cable, Disney+, Amazon Prime Video, Netflix"", ""Iron"", ""Room-darkening shades"", ""Bathtub"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Conditioner"", ""Essentials"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",$468.00,t,06/08/2021,08/09/2024,f,2716,30762525,1.0,1.0,48.13618,11.54208,3.0,1.0,1.0,1.0,1.0,60,1.0,1125.0,6,6,7,20,97.0,35.0,2.0,4.9,4.88,4.93,4.79,4.76,4.87,4.73,1.0,1.0,0.0,0.0,2.54
1346,11/01/2016,within an hour,100%,100%,"['email', 'phone', 'work_email']",Maxvorstadt,Entire rental unit,Entire home/apt,1 bath,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Single level home"", ""Lockbox"", ""Wir bitten unseren G\u00e4sten nat\u00fcrliche SPA Produkte  von Lemongrass House shampoo"", ""Self check-in"", ""Window AC unit"", ""Dishes and silverware"", ""Crib"", ""Stove"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""TV"", ""Fire extinguisher"", ""Portable air conditioning"", ""Laundromat nearby"", ""Iron"", ""Garden view"", ""Freezer"", ""Clothing storage: walk-in closet and dresser"", ""Room-darkening shades"", ""Babysitter recommendations"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Private backyard \u2013 Not fully fenced"", ""Hot water"", ""Wir bitten unseren G\u00e4sten nat\u00fcrliche SPA Produkte  von Lemongrass House body soap"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Bidet"", ""Paid parking lot on premises \u2013 2 spaces"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Mini fridge""]",$450.00,t,21/07/2021,13/09/2024,f,2718,54239071,8.0,8.0,48.14566,11.56196,4.0,1.0,1.0,2.0,2.0,365,2.0,1125.0,19,40,52,144,106.0,44.0,3.0,4.92,4.92,4.97,4.9,4.92,4.85,4.71,8.0,8.0,0.0,0.0,2.73
1347,14/07/2021,within a few hours,100%,70%,['phone'],Aubing-Lochhausen-Langwied,Private room in condo,Private room,1 shared bath,"[""HDTV"", ""Luggage dropoff allowed"", ""Outdoor furniture"", ""Hot water kettle"", ""Free parking on premises"", ""Stainless steel oven"", ""Coffee maker"", ""Single level home"", ""Park view"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Sun loungers"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Bidet"", ""Paid washer \u2013 In building"", ""Board games"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Bikes""]",$55.00,t,08/09/2021,26/08/2024,f,2719,412922313,2.0,2.0,48.17406,11.41029,1.0,1.0,1.0,2.0,14.0,365,14.0,365.0,10,40,70,345,12.0,3.0,1.0,5.0,5.0,4.83,5.0,4.83,4.75,4.75,2.0,0.0,2.0,0.0,0.32
1348,02/08/2014,within a few hours,70%,22%,"['email', 'phone']",Untergiesing-Harlaching,Entire condo,Entire home/apt,1 bath,"[""BBQ grill"", ""Outdoor furniture"", ""Hot water kettle"", ""Free parking on premises"", ""Stainless steel oven"", ""Single level home"", ""Lockbox"", ""Fast wifi \u2013 54 Mbps"", ""Self check-in"", ""Dishes and silverware"", ""Sonos, Apple  Bluetooth sound system"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Ethernet connection"", ""Portable air conditioning"", ""Exercise equipment"", ""Microwave"", ""EV charger"", ""Iron"", ""HDTV with Netflix"", ""Coffee maker: Nespresso"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Electric stove"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""Private patio or balcony"", ""Outdoor dining area"", ""Kitchen"", ""Body soap""]",$298.00,t,17/10/2021,21/06/2024,f,2722,19340259,1.0,1.0,48.09923,11.56857,3.0,1.0,1.0,2.0,2.0,1125,2.0,1125.0,28,58,86,361,5.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.4,1.0,1.0,0.0,0.0,0.14
1349,04/02/2020,within a few hours,100%,100%,['phone'],Ramersdorf-Perlach,Entire rental unit,Entire home/apt,1 bath,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Keypad"", ""Induction stove"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Coffee maker: Nespresso"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Stainless steel single oven"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Free dryer \u2013 In building"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Toaster""]",$85.00,t,30/06/2023,15/08/2024,f,2723,333433441,1.0,1.0,48.10029,11.62989,2.0,1.0,1.0,1.0,3.0,365,3.2,365.0,0,0,0,221,11.0,7.0,0.0,4.91,4.91,4.91,4.91,4.91,4.82,4.82,1.0,1.0,0.0,0.0,0.73
