,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,first_review,last_review,instant_bookable,Unnamed: 0,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,18/04/2011,a few days or more,0%,6%,"['email', 'phone']",Hadern,Entire rental unit,Entire home/apt,1 bath,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Paid dryer"", ""Hangers"", ""Microwave"", ""Free street parking"", ""Room-darkening shades"", ""Private entrance"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Window guards"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Paid washer"", ""Toaster""]",$95.00,t,03/10/2011,03/10/2019,f,0,517685,2.0,3.0,48.11492,11.48954,2.0,1.0,1.0,1.0,2.0,90,2.0,90.0,2,6,6,175,126.0,0.0,0.0,4.84,4.89,4.81,4.9,4.93,4.78,4.73,2.0,2.0,0.0,0.0,0.8
1,12/05/2011,within an hour,100%,99%,"['email', 'phone']",Berg am Laim,Entire rental unit,Entire home/apt,1 bath,"[""Luggage dropoff allowed"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Dryer"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Free street parking"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Wifi""]",$145.00,t,08/07/2011,01/09/2024,f,1,581737,3.0,3.0,48.12071,11.63758,6.0,1.0,1.0,1.0,2.0,30,2.0,30.0,18,25,25,95,74.0,13.0,1.0,4.84,4.77,4.95,4.97,5.0,4.66,4.61,3.0,3.0,0.0,0.0,0.46
2,01/07/2011,within an hour,100%,78%,"['email', 'phone']",Pasing-Obermenzing,Entire rental unit,Entire home/apt,1 bath,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""30 inch HDTV with standard cable, premium cable"", ""Hot water kettle"", ""Free parking on premises"", ""Coffee maker"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Electrolux electric stove"", ""Iron"", ""Garden view"", ""Free street parking"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Private entrance"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Conditioner"", ""Essentials"", ""Window guards"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Smoking allowed"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Bikes""]",$86.00,t,15/08/2011,24/07/2024,t,3,765694,1.0,1.0,48.13855,11.46586,2.0,1.0,1.0,1.0,3.0,35,4.0,1125.0,9,19,30,43,41.0,4.0,0.0,4.64,4.73,4.27,4.78,4.8,4.59,4.44,1.0,1.0,0.0,0.0,0.26
3,14/04/2010,within a few hours,100%,100%,"['email', 'phone']",Sendling-Westpark,Private room in home,Private room,1 shared bath,"[""Luggage dropoff allowed"", ""Heating"", ""Paid washer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker"", ""Free parking on premises"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Wine glasses"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Patio or balcony"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Breakfast""]",$120.00,t,25/09/2011,18/08/2024,f,4,108297,1.0,1.0,48.10814,11.52733,4.0,1.0,1.0,2.0,3.0,1125,3.0,1125.0,1,1,14,161,30.6,28.0,0.0,4.95,4.96,4.99,4.99,4.98,4.77,4.91,1.0,0.0,1.0,0.0,3.58
4,16/07/2011,within an hour,100%,67%,"['email', 'phone']",Maxvorstadt,Private room in rental unit,Private room,1 shared bath,"[""Luggage dropoff allowed"", ""Heating"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Hangers"", ""HDTV with standard cable"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Body soap""]",$129.00,t,22/05/2012,01/09/2024,f,6,825767,1.0,1.0,48.14957,11.55507,2.0,1.0,1.0,1.0,2.0,7,2.0,7.0,11,25,28,55,111.0,9.0,1.0,4.85,4.9,4.91,4.89,4.88,4.82,4.79,1.0,0.0,1.0,0.0,0.74
5,27/07/2011,within a few hours,100%,78%,"['email', 'phone', 'work_email']",Allach-Untermenzing,Shared room in ice dome,Shared room,1.5 shared baths,"[""Microwave"", ""Coffee maker"", ""Dishwasher"", ""Dishes and silverware"", ""Wifi"", ""Waterfront"", ""Refrigerator"", ""Elevator""]",$50.00,t,25/09/2022,25/09/2022,t,7,880705,2.0,4.0,48.17532,11.44526,2.7,1.5,1.0,1.0,1.0,730,1.0,730.0,29,59,89,364,1.0,0.0,0.0,4.8,4.0,4.8,4.9,4.9,4.8,4.6,1.0,0.0,0.0,0.0,0.04
6,01/08/2011,within a few hours,90%,77%,"['email', 'phone']",Neuhausen-Nymphenburg,Private room in rental unit,Private room,1 shared bath,"[""Luggage dropoff allowed"", ""Denon sound system with aux"", ""Heating"", ""46 inch HDTV"", ""Bomann gas stove"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Children\u2019s books and toys"", ""Fast wifi \u2013 54 Mbps"", ""Dishes and silverware"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Cleaning products"", ""Laundromat nearby"", ""Gorenje refrigerator"", ""Iron"", ""Garden view"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Bomann single oven"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Diverse body soap"", ""Shampoo"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Ceiling fan"", ""Kitchen"", ""Toaster""]",$97.00,t,26/09/2011,22/09/2024,f,9,901209,2.0,3.0,48.15638,11.53935,2.0,1.0,1.0,1.0,2.0,35,2.0,35.0,23,53,83,83,49.0,5.0,2.0,4.9,4.87,4.66,4.98,4.96,4.78,4.58,1.0,0.0,1.0,0.0,0.31
7,03/08/2011,within an hour,100%,99%,['phone'],Schwanthalerhöhe,Entire loft,Entire home/apt,1.5 baths,"[""BBQ grill"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Beach essentials"", ""Long term stays allowed"", ""Heating"", ""Hot water kettle"", ""Paid resort access"", ""Lockbox"", ""Pets allowed"", ""Self check-in"", ""Dishes and silverware"", ""Other stainless steel gas stove"", ""Blender"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Coffee maker: drip coffee maker, espresso machine"", ""Outdoor playground"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""Dedicated workspace"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Housekeeping available 3 hours a day, 1 day a week - available at extra cost"", ""Room-darkening shades"", ""Babysitter recommendations"", ""Trash compactor"", ""HDTV with Amazon Prime Video, Disney+, Netflix, standard cable, Fire TV, Apple TV"", ""Private entrance"", ""Shared backyard \u2013 Fully fenced"", ""Exercise equipment: free weights, yoga mat"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""EV charger - level 2"", ""Shower gel"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Clamp on table seat high chair - always at the listing"", ""City skyline view"", ""Conditioner"", ""Essentials"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Dishwasher"", ""Free washer"", ""Stainless steel single oven"", ""Coffee"", ""Drying rack for clothing"", ""Shampoo"", ""Crib - always at the listing"", ""Books and reading material"", ""Refrigerator"", ""Smoke alarm"", ""Baking sheet"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""Paid parking on premises"", ""Pocket wifi"", ""Private patio or balcony"", ""Paid parking garage off premises"", ""Board games"", ""Dining table"", ""Clothing storage: closet and wardrobe"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Mountain view"", ""Toaster""]",$771.00,t,22/12/2011,15/09/2024,t,10,914449,2.0,4.0,48.13591874,11.54427055,6.0,1.5,2.0,4.0,3.0,1125,3.0,1125.0,6,28,48,52,30.6,41.0,3.0,4.8,4.89,4.76,4.88,4.89,4.85,4.68,2.0,1.0,1.0,0.0,2.82
8,03/08/2011,within an hour,100%,87%,"['email', 'phone']",Au-Haidhausen,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shared beach access"", ""Essentials"", ""Dishwasher"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$65.00,t,08/10/2011,02/09/2024,f,12,914691,2.0,2.0,48.12627792,11.57953453,4.0,1.0,0.0,2.0,2.0,14,2.0,14.0,5,21,25,256,254.0,23.0,2.0,4.57,4.69,4.67,4.74,4.79,4.84,4.56,2.0,2.0,0.0,0.0,1.61
9,04/08/2011,within an hour,100%,98%,"['email', 'phone']",Berg am Laim,Private room in rental unit,Private room,1 shared bath,"[""Luggage dropoff allowed"", ""Heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""L'Oreal shampoo"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Washer"", ""Laundromat nearby"", ""Iron"", ""Freezer"", ""Free street parking"", ""Bosch refrigerator"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""L'Oreal conditioner"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Long term stays allowed"", ""Baking sheet"", ""Smoke alarm"", ""Piano"", ""Privileg stainless steel stove"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""Wifi"", ""Body soap"", ""Toaster"", ""Privileg stainless steel oven""]",$40.00,t,23/03/2012,25/08/2024,f,13,919644,1.0,1.0,48.12608,11.63305,1.0,1.0,1.0,1.0,2.0,730,2.0,730.0,0,0,1,1,246.0,53.0,0.0,4.93,4.93,4.98,4.96,4.95,4.83,4.93,1.0,0.0,1.0,0.0,1.61
10,05/08/2011,within a day,50%,0%,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,Entire rental unit,Entire home/apt,1 bath,"[""Bathtub"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Heating"", ""Hair dryer"", ""Essentials"", ""Kitchen"", ""Dishes and silverware"", ""Room-darkening shades"", ""Wifi"", ""Body soap"", ""Shampoo"", ""Refrigerator"", ""Bed linens""]",$78.00,t,12/12/2011,11/06/2023,f,17,926985,1.0,1.0,48.1267,11.57033,2.0,1.0,1.0,1.0,3.0,5,3.0,5.0,0,0,0,0,54.0,0.0,0.0,4.78,4.91,4.81,4.85,4.89,4.94,4.58,1.0,1.0,0.0,0.0,0.35
11,07/08/2011,within a day,100%,71%,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Courtyard view"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""Microwave"", ""Room-darkening shades"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Pets allowed"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Drying rack for clothing"", ""Refrigerator"", ""Smoking allowed"", ""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Toaster""]",$130.00,t,27/09/2011,24/09/2024,f,18,934964,1.0,1.0,48.1295,11.56788,4.0,1.0,1.0,2.0,3.0,24,3.0,24.0,7,26,52,142,98.0,8.0,2.0,4.82,4.83,4.69,4.96,4.97,4.91,4.74,1.0,1.0,0.0,0.0,0.62
12,08/08/2011,within an hour,100%,96%,"['email', 'phone']",Maxvorstadt,Private room in rental unit,Private room,1 shared bath,"[""Hot water kettle"", ""Single level home"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Laundromat nearby"", ""Iron"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Shampoo"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""22 inch TV with standard cable"", ""Body soap""]",$125.00,t,01/05/2012,17/09/2024,f,19,938552,2.0,2.0,48.15590668,11.57243919,1.0,1.0,1.0,1.0,3.0,7,3.0,7.0,4,27,35,140,237.0,25.0,2.0,4.79,4.92,4.96,4.94,4.86,4.93,4.8,2.0,0.0,2.0,0.0,1.57
13,09/08/2011,within a few hours,100%,15%,"['email', 'phone']",Neuhausen-Nymphenburg,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Washer"", ""TV with standard cable"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Smoking allowed""]",$120.00,t,29/08/2011,18/08/2024,f,21,944911,1.0,1.0,48.1495,11.54115,2.0,1.0,1.0,1.0,1.0,5,1.0,5.0,0,0,0,0,67.0,3.0,0.0,4.77,4.74,4.6,4.85,4.85,4.83,4.68,1.0,1.0,0.0,0.0,0.42
14,10/08/2011,within an hour,100%,97%,"['email', 'phone']",Schwabing-West,Private room in condo,Private room,1 shared bath,"[""Luggage dropoff allowed"", ""Heating"", ""Coffee maker"", ""Dryer"", ""Single level home"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Elevator"", ""Bed linens"", ""Shared patio or balcony"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Private entrance"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Refrigerator"", ""Smoking allowed"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$45.00,t,01/08/2012,04/08/2024,f,22,949632,2.0,2.0,48.16304,11.56855,1.0,1.0,1.0,1.0,30.0,210,29.1,210.0,0,0,0,77,73.0,5.0,0.0,4.71,4.82,4.58,4.92,4.82,4.89,4.71,2.0,0.0,2.0,0.0,0.49
15,10/08/2011,within an hour,100%,100%,"['email', 'phone']",Ramersdorf-Perlach,Entire townhouse,Entire home/apt,1 bath,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Coffee maker: espresso machine"", ""Dishes and silverware"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Indoor fireplace: wood-burning"", ""Cleaning products"", ""Hangers"", ""Laundromat nearby"", ""Iron"", ""Garden view"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""First aid kit"", ""Coffee"", ""Essentials"", ""Siemens gas stove"", ""Drying rack for clothing"", ""Shampoo"", ""Baking sheet"", ""Nivea body soap"", ""Smoke alarm"", ""Central heating"", ""Siemens refrigerator"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Toaster""]",$141.00,t,22/09/2011,24/09/2024,f,23,949998,1.0,1.0,48.10026,11.6068,4.0,1.0,1.0,2.0,2.0,30,2.0,30.0,1,16,16,165,290.0,26.0,3.0,4.91,4.91,4.94,4.97,4.96,4.69,4.78,1.0,1.0,0.0,0.0,1.83
16,10/08/2011,within a few hours,100%,85%,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,Private room in rental unit,Private room,1 shared bath,"[""Heating"", ""Shared backyard"", ""Coffee maker: french press"", ""Children\u2019s books and toys"", ""Siemens electric stove"", ""Courtyard view"", ""Exercise equipment: yoga mat"", ""Dishes and silverware"", ""Host greets you"", ""Shared patio or balcony"", ""Free washer \u2013 In unit"", ""Hangers"", ""Iron"", ""Garden view"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Essentials"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",$145.00,t,24/09/2011,13/09/2024,f,24,950268,2.0,2.0,48.12279,11.56028,3.0,1.0,1.0,2.0,4.0,10,4.0,10.0,10,20,35,290,280.0,35.0,3.0,4.86,4.88,4.82,4.82,4.92,4.81,4.74,2.0,1.0,1.0,0.0,1.77
17,29/04/2014,within a few hours,100%,69%,"['email', 'phone']",Au-Haidhausen,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Hangers"", ""TV"", ""Washer"", ""Iron"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Exercise equipment: stationary bike, yoga mat"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Tivoli sound system with Bluetooth and aux""]",$195.00,t,15/04/2012,23/09/2024,f,26,14870835,1.0,3.0,48.1209399,11.57696827,2.0,1.0,1.0,1.0,7.0,30,7.0,30.0,0,0,0,257,77.0,6.0,1.0,4.82,4.79,4.87,4.87,4.86,4.85,4.75,1.0,1.0,0.0,0.0,0.51
18,12/08/2011,within an hour,100%,100%,"['email', 'phone']",Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Private room in home,Private room,1 private bath,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Hot water kettle"", ""Coffee maker"", ""Sony Soundbar Bluetooth sound system"", ""Single level home"", ""Outdoor shower"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Children\u2019s bikes"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Dedicated workspace"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Private entrance"", ""50 inch HDTV with Chromecast, Netflix"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Window guards"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Paid washer \u2013 In building"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Wifi"", ""Exterior security cameras on property"", ""Mini fridge"", ""Body soap"", ""Bikes""]",$101.00,t,21/09/2011,25/08/2024,f,27,961042,1.0,1.0,48.08972,11.51393,2.0,1.0,1.0,1.0,4.0,30,4.0,30.0,8,22,35,35,268.0,14.0,0.0,4.65,4.75,4.85,4.76,4.77,4.46,4.61,1.0,0.0,1.0,0.0,1.69
19,15/08/2011,within an hour,100%,100%,"['email', 'phone', 'work_email']",Berg am Laim,Private room in rental unit,Private room,1 shared bath,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Bosch stainless steel oven"", ""Hot water kettle"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""Sun loungers"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Patio or balcony"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Toaster""]",$78.00,t,29/04/2012,31/08/2024,t,28,971759,1.0,2.0,48.1177,11.64272,2.0,1.0,1.0,1.0,3.0,93,3.2,1125.0,4,4,5,83,144.0,16.0,1.0,4.77,4.83,4.4,4.93,4.95,4.63,4.59,1.0,0.0,1.0,0.0,0.95
20,12/08/2011,within an hour,100%,100%,"['email', 'phone', 'work_email']",Neuhausen-Nymphenburg,Entire rental unit,Entire home/apt,1 bath,"[""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Stainless steel electric stove"", ""Microwave"", ""Iron"", ""Table corner guards"", ""Free street parking"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""First aid kit"", ""Conditioner"", ""Essentials"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$68.00,t,05/10/2011,29/02/2024,f,29,959791,5.0,5.0,48.15797,11.51046,1.0,1.0,0.0,1.0,3.0,720,3.2,720.0,0,0,0,23,18.0,1.0,0.0,4.89,4.83,4.94,5.0,5.0,4.83,4.61,1.0,1.0,0.0,0.0,0.11
21,15/08/2011,within an hour,100%,97%,"['email', 'phone']",Untergiesing-Harlaching,Private room in rental unit,Private room,1 private bath,"[""Smoke alarm"", ""TV"", ""Cooking basics"", ""Hot water"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Board games"", ""Essentials"", ""Kitchen"", ""Dishes and silverware"", ""Free street parking"", ""Wifi"", ""Host greets you"", ""Stove"", ""Shampoo"", ""Refrigerator""]",$150.00,t,29/09/2011,31/08/2024,t,30,972246,1.0,1.0,48.09092,11.56088,6.0,1.0,2.0,1.5,3.0,14,3.0,1125.0,11,38,64,89,30.6,39.0,2.0,4.88,4.91,4.88,4.98,4.94,4.82,4.8,1.0,0.0,1.0,0.0,2.86
22,15/08/2011,within an hour,100%,100%,"['email', 'phone']",Maxvorstadt,Private room in serviced apartment,Private room,1 shared bath,"[""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Backyard"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Hangers"", ""TV"", ""Iron"", ""Hot water"", ""Hair dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen""]",$978.00,t,22/09/2012,11/09/2024,f,32,972992,1.0,1.0,48.15017,11.56221,1.0,1.0,1.0,1.0,3.0,90,3.0,90.0,6,16,27,190,30.6,50.0,4.0,4.86,4.9,4.83,4.95,4.93,4.95,4.91,1.0,0.0,1.0,0.0,2.48
23,16/08/2011,within a day,100%,78%,"['email', 'phone']",Schwabing-Freimann,Entire rental unit,Entire home/apt,1 bath,"[""Luggage dropoff allowed"", ""Shared pool"", ""Heating"", ""Coffee maker: french press"", ""Hot water kettle"", ""Dryer"", ""Park view"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Cleaning products"", ""Elevator"", ""Hangers"", ""Sound system"", ""Microwave"", ""Iron"", ""Room-darkening shades"", ""Trash compactor"", ""Paid parking off premises"", ""AEG refrigerator"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Smoking allowed"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking on premises"", ""Paid washer \u2013 In building"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap""]",$125.00,t,04/10/2011,02/09/2024,f,33,976495,1.0,1.0,48.16618,11.58973,2.0,1.0,1.0,2.0,2.0,1125,2.0,1125.0,8,14,14,200,58.0,7.0,1.0,4.74,4.72,4.76,4.84,4.88,4.81,4.45,1.0,1.0,0.0,0.0,0.37
